Column,Remaining_Nulls,Remaining_Pct
02FI_1000.PV,93304,4.4167
03FIC_1085.PV,93304,4.4167
03LIC_1016.PV,93304,4.4167
03LIC_1034.PV,93304,4.4167
03PDI_1020.PV,93304,4.4167
03PDI_1077.PV,93304,4.4167
03PIC_1013.PV,93304,4.4167
03PIC_1023.PV,93304,4.4167
03PIC_1068.PV,93304,4.4167
03PI_1409.PV,93304,4.4167
03TIC_1009.PV,93304,4.4167
03TIC_1023.PV,93304,4.4167
03TIC_1145.PV,93304,4.4167
03TI_1002.PV,93304,4.4167
03TI_1005.PV,93304,4.4167
03TI_1015.PV,93304,4.4167
03TI_1024.PV,93304,4.4167
03TI_1081.PV,93304,4.4167
03TI_1108.PV,93304,4.4167
