Variable_1,Variable_2,Spearman_rho,Abs_rho,Type
03TI_1015.PV,03TI_1024.PV,0.9789,0.9789,Inter-Variable
03TI_1002.PV,03TI_1005.PV,0.9648,0.9648,Inter-Variable
03PIC_1023.PV,03TI_1015.PV,0.9643,0.9643,Inter-Variable
03PIC_1023.PV,03TI_1024.PV,0.9635,0.9635,Inter-Variable
03TIC_1023.PV,03TI_1024.PV,0.9568,0.9568,With Target
03TIC_1023.PV,03TI_1015.PV,0.9537,0.9537,With Target
03TIC_1009.PV,03TI_1108.PV,0.9367,0.9367,Inter-Variable
03PIC_1013.PV,03TI_1081.PV,0.9257,0.9257,Inter-Variable
03PIC_1023.PV,03TIC_1023.PV,0.924,0.924,With Target
02FI_1000.PV,03PDI_1020.PV,0.8515,0.8515,Inter-Variable
