Gap_Start,Gap_End,Gap_Minutes,Gap_Hours,Gap_Days
2024-12-03 23:59:00,2024-12-22 14:21:00,26782.0,446.37,18.6
2023-11-28 14:14:00,2023-12-05 23:58:00,10664.0,177.73,7.41
2023-06-26 07:59:00,2023-07-01 04:31:00,6992.0,116.53,4.86
2024-07-02 04:09:00,2024-07-05 20:41:00,5312.0,88.53,3.69
2025-02-19 22:29:00,2025-02-22 22:30:00,4321.0,72.02,3.0
2022-10-19 23:11:00,2022-10-22 09:57:00,3526.0,58.77,2.45
2022-12-19 18:49:00,2022-12-21 22:30:00,3101.0,51.68,2.15
2023-03-01 22:29:00,2023-03-03 22:30:00,2881.0,48.02,2.0
2025-07-11 22:29:00,2025-07-13 22:30:00,2881.0,48.02,2.0
2022-03-01 23:44:00,2022-03-03 21:46:00,2762.0,46.03,1.92
2025-07-01 03:59:00,2025-07-02 22:21:00,2542.0,42.37,1.77
2023-02-02 02:44:00,2023-02-03 20:01:00,2477.0,41.28,1.72
2025-03-03 08:14:00,2025-03-04 22:21:00,2287.0,38.12,1.59
2022-03-24 10:19:00,2022-03-25 18:01:00,1902.0,31.7,1.32
2022-08-05 13:19:00,2022-08-06 17:01:00,1662.0,27.7,1.15
2022-10-01 21:30:00,2022-10-02 13:56:00,986.0,16.43,0.68
2023-03-09 05:52:00,2023-03-09 22:01:00,969.0,16.15,0.67
2023-04-29 11:59:00,2023-04-30 02:01:00,842.0,14.03,0.58
2022-04-18 13:05:00,2022-04-19 02:36:00,811.0,13.52,0.56
2025-08-19 13:40:00,2025-08-20 01:03:00,683.0,11.38,0.47
