Parameter,Null_Episodes,Total_Null_Records,Max_Consecutive_Records,Max_Duration_Minutes,Avg_Duration_Minutes,Median_Duration_Minutes,Total_Null_Pct
03TI_1002.PV,7,3041,2224,2223.0,433.43,0.0,0.1506
02FI_1000.PV,228,669,86,85.0,1.93,0.0,0.0331
03FIC_1085.PV,167,315,10,9.0,0.89,0.0,0.0156
03LIC_1016.PV,7,8,2,1.0,0.14,0.0,0.0004
03PDI_1077.PV,11,12,2,1.0,0.09,0.0,0.0006
03PDI_1020.PV,8,8,1,0.0,0.0,0.0,0.0004
03LIC_1034.PV,4,4,1,0.0,0.0,0.0,0.0002
03PIC_1023.PV,8,8,1,0.0,0.0,0.0,0.0004
03PIC_1068.PV,8,8,1,0.0,0.0,0.0,0.0004
03PI_1409.PV,7,7,1,0.0,0.0,0.0,0.0003
03PIC_1013.PV,11,11,1,0.0,0.0,0.0,0.0005
03TIC_1009.PV,4,4,1,0.0,0.0,0.0,0.0002
03TIC_1023.PV,4,4,1,0.0,0.0,0.0,0.0002
03TIC_1145.PV,11,11,1,0.0,0.0,0.0,0.0005
03TI_1005.PV,5,5,1,0.0,0.0,0.0,0.0002
03TI_1015.PV,4,4,1,0.0,0.0,0.0,0.0002
03TI_1024.PV,4,4,1,0.0,0.0,0.0,0.0002
03TI_1081.PV,5,5,1,0.0,0.0,0.0,0.0002
03TI_1108.PV,8,8,1,0.0,0.0,0.0,0.0004
