Column,Null_Count,Null_Percentage,Category
03TI_1002.PV,3041,0.1506,Minor (0.01-1%)
02FI_1000.PV,669,0.0331,Minor (0.01-1%)
03FIC_1085.PV,315,0.0156,Minor (0.01-1%)
03PDI_1077.PV,12,0.0006,Clean (<0.01%)
03TIC_1145.PV,11,0.0005,Clean (<0.01%)
03PIC_1013.PV,11,0.0005,Clean (<0.01%)
03LIC_1016.PV,8,0.0004,Clean (<0.01%)
03PIC_1068.PV,8,0.0004,Clean (<0.01%)
03TI_1108.PV,8,0.0004,Clean (<0.01%)
03PDI_1020.PV,8,0.0004,Clean (<0.01%)
03PIC_1023.PV,8,0.0004,Clean (<0.01%)
03PI_1409.PV,7,0.0003,Clean (<0.01%)
03LIC_1034.PV,4,0.0002,Clean (<0.01%)
03TIC_1009.PV,4,0.0002,Clean (<0.01%)
03TIC_1023.PV,4,0.0002,Clean (<0.01%)
03TI_1005.PV,5,0.0002,Clean (<0.01%)
03TI_1015.PV,4,0.0002,Clean (<0.01%)
03TI_1024.PV,4,0.0002,Clean (<0.01%)
03TI_1081.PV,5,0.0002,Clean (<0.01%)
