Feature,Mean_Abs_SHAP
03PIC_1023.PV,0.9963166421496233
03TIC_1023.PV_lag_30,0.19255912827594432
03TI_1024.PV_roll_min_60,0.14391589718147493
hour,0.06596457409879382
03TIC_1023.PV_diff_30,0.04833213716331392
03TI_1002.PV,0.046532820690735915
03FIC_1085.PV,0.03504809602843514
month,0.030214312855403436
03TI_1081.PV_diff_5,0.027389726731585972
03PIC_1013.PV,0.024297354419588454
03TIC_1145.PV,0.022052813325838354
03TIC_1009.PV,0.0207309150746452
03TI_1024.PV_lag_60,0.014440276925114097
03PI_1409.PV,0.013447163286843158
03TIC_1023.PV_diff_15,0.013289339620659249
03TI_1081.PV_diff_15,0.01050974953318875
03TI_1081.PV,0.009943669788219582
03TI_1081.PV_roll_max_60,0.009823668317168875
03TIC_1023.PV_roll_std_60,0.007942321086366475
03TIC_1009.PV_diff_5,0.00782952773802375
03PIC_1023.PV_diff_5,0.007685075465820864
03TI_1081.PV_lag_60,0.007485343129915727
03TIC_1009.PV_diff_15,0.006752207418447147
03PIC_1023.PV_diff_30,0.005958808887443325
03TIC_1023.PV_diff_5,0.002552653902514143
